speciality,awards,year,male,female,total
Anatomy,DNB+MD,2020,4,16,20
Anatomy,DNB+MD,2021,11,20,31
Anatomy,DNB+MD,2022,10,40,50
Anatomy,DNB+MD,2023,6,21,27
Anatomy,DNB+MD,2024,7,20,27
Anatomy,DNB+MD,2025,19,34,53
Anesthesiology,DNB+MD,2020,144,134,278
Anesthesiology,DNB+MD,2021,204,211,415
Anesthesiology,DNB+MD,2022,255,374,629
Anesthesiology,DNB+MD,2023,277,300,577
Anesthesiology,DNB+MD,2024,134,156,290
Anesthesiology,DNB+MD,2025,419,482,901
Biochemistry,DNB+MD,2020,6,23,29
Biochemistry,DNB+MD,2021,7,47,54
Biochemistry,DNB+MD,2022,17,29,46
Biochemistry,DNB+MD,2023,15,54,69
Biochemistry,DNB+MD,2024,4,28,32
Biochemistry,DNB+MD,2025,23,68,91
Community Medicine,DNB+MD,2020,23,33,56
Community Medicine,DNB+MD,2021,45,61,106
Community Medicine,DNB+MD,2022,53,97,150
Community Medicine,DNB+MD,2023,76,71,147
Community Medicine,DNB+MD,2024,39,38,77
Community Medicine,DNB+MD,2025,106,130,236
"Dermatology, Venereology and Leprosy",DNB+MD,2020,38,45,83
"Dermatology, Venereology and Leprosy",DNB+MD,2021,44,81,125
"Dermatology, Venereology and Leprosy",DNB+MD,2022,55,143,198
"Dermatology, Venereology and Leprosy",DNB+MD,2023,42,99,141
"Dermatology, Venereology and Leprosy",DNB+MD,2024,21,66,87
"Dermatology, Venereology and Leprosy",DNB+MD,2025,82,189,271
ENT (Otorhinolaryngology),DNB+MS,2020,39,46,85
ENT (Otorhinolaryngology),DNB+MS,2021,49,77,126
ENT (Otorhinolaryngology),DNB+MS,2022,78,121,199
ENT (Otorhinolaryngology),DNB+MS,2023,77,139,216
ENT (Otorhinolaryngology),DNB+MS,2024,34,71,105
ENT (Otorhinolaryngology),DNB+MS,2025,115,183,298
Emergency Medicine,DNB+MD,2020,7,4,11
Emergency Medicine,DNB+MD,2021,17,8,25
Emergency Medicine,DNB+MD,2022,21,11,32
Emergency Medicine,DNB+MD,2023,18,8,26
Emergency Medicine,DNB+MD,2024,11,11,22
Emergency Medicine,DNB+MD,2025,45,31,76
Family Medicine,DNB+MD,2020,1,2,3
Family Medicine,DNB+MD,2021,6,11,17
Family Medicine,DNB+MD,2022,12,22,34
Family Medicine,DNB+MD,2023,5,14,19
Family Medicine,DNB+MD,2024,5,11,16
Family Medicine,DNB+MD,2025,9,22,31
Forensic Medicine,DNB+MD,2020,19,5,24
Forensic Medicine,DNB+MD,2021,18,1,19
Forensic Medicine,DNB+MD,2022,35,5,40
Forensic Medicine,DNB+MD,2023,26,7,33
Forensic Medicine,DNB+MD,2024,18,5,23
Forensic Medicine,DNB+MD,2025,53,23,76
General Medicine,DNB+MD,2020,304,109,413
General Medicine,DNB+MD,2021,380,204,584
General Medicine,DNB+MD,2022,486,268,754
General Medicine,DNB+MD,2023,463,275,738
General Medicine,DNB+MD,2024,196,133,329
General Medicine,DNB+MD,2025,631,339,970
General Surgery,DNB+MS,2020,338,62,400
General Surgery,DNB+MS,2021,403,127,530
General Surgery,DNB+MS,2022,493,183,676
General Surgery,DNB+MS,2023,439,201,640
General Surgery,DNB+MS,2024,200,81,281
General Surgery,DNB+MS,2025,659,318,977
Geriatrics,DNB+MD,2020,0,0,0
Geriatrics,DNB+MD,2021,6,7,13
Geriatrics,DNB+MD,2022,2,2,4
Geriatrics,DNB+MD,2023,3,2,5
