year,registrations
1927,21
1928,258
1929,204
1930,208
1931,1
1932,172
1933,173
1934,168
1935,194
1936,191
1937,196
1938,207
1939,215
1940,244
1941,296
1942,282
1943,216
1944,189
1945,217
1946,157
1947,264
1948,283
1949,258
1950,298
1951,298
1952,376
1953,397
1954,392
1955,341
1956,306
1957,303
1958,246
1959,309
1960,369
1961,396
1962,374
1963,417
1964,697
1965,471
1966,576
1967,821
1968,883
1969,935
1970,996
1971,865
1972,1041
1973,1443
1974,1317
1975,1371
1976,1193
1977,1371
1978,1412
1979,1285
1980,1365
1981,1494
1982,1329
1983,1255
1984,1322
1985,1214
1986,1811
1987,1352
1988,1334
1989,1610
1990,1693
1991,1647
1992,1831
1993,1807
1994,1582
1995,1633
1996,1786
1997,2137
1998,2000
1999,2079
2000,2050
2001,2118
2002,2267
2003,2350
2004,2240
2005,2032
2006,2204
2007,2488
2008,2954
2009,2988
2010,3386
2011,3473
2012,4183
2013,4623
2014,5066
2015,5091
2016,6494
2017,6961
2018,7164
2019,8767
2020,9064
2021,9331
2022,11653
2023,10989
2024,11149
2025,3785
