year,basis,cadre,group,course_years,sanctioned_seats_frozen,sanctioned_seats_trend,fill_rate,completion_rate,completion_basis,qualified_output_frozen,qualified_output_trend,full_coverage_year
2021,Observed,BSc Nursing,Nursing,4,18910,13689,0.9694,0.7596,observed (1 cohort match),,,"no, partial"
2022,Observed,BSc Nursing,Nursing,4,18910,14588,0.9694,0.7596,observed (1 cohort match),,,"no, partial"
2023,Observed,BSc Nursing,Nursing,4,18910,15887,0.9694,0.7596,observed (1 cohort match),,,"no, partial"
2024,Observed,BSc Nursing,Nursing,4,18910,17483,0.9694,0.7596,observed (1 cohort match),,,"no, partial"
2025,Observed,BSc Nursing,Nursing,4,18910,18910,0.9694,0.7596,observed (1 cohort match),13924,10080,"no, partial"
2026,Projected,BSc Nursing,Nursing,4,18910,20244,0.9694,0.7596,observed (1 cohort match),13924,10742,"no, partial"
2027,Projected,BSc Nursing,Nursing,4,18910,21577,0.9694,0.7596,observed (1 cohort match),13924,11698,yes
2028,Projected,BSc Nursing,Nursing,4,18910,22911,0.9694,0.7596,observed (1 cohort match),13924,12874,yes
2029,Projected,BSc Nursing,Nursing,4,18910,24245,0.9694,0.7596,observed (1 cohort match),13924,13924,yes
2030,Projected,BSc Nursing,Nursing,4,18910,25578,0.9694,0.7596,observed (1 cohort match),13924,14906,yes
2031,Projected,BSc Nursing,Nursing,4,18910,26912,0.9694,0.7596,observed (1 cohort match),13924,15889,yes
2032,Projected,BSc Nursing,Nursing,4,18910,28246,0.9694,0.7596,observed (1 cohort match),13924,16871,yes
2033,Projected,BSc Nursing,Nursing,4,18910,29580,0.9694,0.7596,observed (1 cohort match),13924,17853,yes
2034,Projected,BSc Nursing,Nursing,4,18910,30913,0.9694,0.7596,observed (1 cohort match),13924,18835,yes
2035,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,19817,yes
2036,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,20799,yes
2037,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,21781,yes
2038,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,22763,yes
2039,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2040,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2041,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2042,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2043,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2044,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2045,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2046,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2047,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2048,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2049,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2050,Projected,BSc Nursing,Nursing,4,18910,32247,0.9694,0.7596,observed (1 cohort match),13924,23745,yes
2021,Observed,MSc Nursing,Nursing,2,1256,1099,0.5910,0.8908,observed (3 cohort matches),,,"no, partial"
2022,Observed,MSc Nursing,Nursing,2,1256,1019,0.5910,0.8908,observed (3 cohort matches),,,"no, partial"
2023,Observed,MSc Nursing,Nursing,2,1256,1191,0.5910,0.8908,observed (3 cohort matches),661,579,"no, partial"
2024,Observed,MSc Nursing,Nursing,2,1256,1256,0.5910,0.8908,observed (3 cohort matches),661,536,"no, partial"
2025,Observed,MSc Nursing,Nursing,2,1256,1320,0.5910,0.8908,observed (3 cohort matches),661,627,"no, partial"
2026,Projected,MSc Nursing,Nursing,2,1256,1385,0.5910,0.8908,observed (3 cohort matches),661,661,"no, partial"
2027,Projected,MSc Nursing,Nursing,2,1256,1449,0.5910,0.8908,observed (3 cohort matches),661,695,yes
2028,Projected,MSc Nursing,Nursing,2,1256,1513,0.5910,0.8908,observed (3 cohort matches),661,729,yes
2029,Projected,MSc Nursing,Nursing,2,1256,1577,0.5910,0.8908,observed (3 cohort matches),661,763,yes
2030,Projected,MSc Nursing,Nursing,2,1256,1642,0.5910,0.8908,observed (3 cohort matches),661,797,yes
2031,Projected,MSc Nursing,Nursing,2,1256,1706,0.5910,0.8908,observed (3 cohort matches),661,831,yes
2032,Projected,MSc Nursing,Nursing,2,1256,1770,0.5910,0.8908,observed (3 cohort matches),661,864,yes
2033,Projected,MSc Nursing,Nursing,2,1256,1835,0.5910,0.8908,observed (3 cohort matches),661,898,yes
2034,Projected,MSc Nursing,Nursing,2,1256,1899,0.5910,0.8908,observed (3 cohort matches),661,932,yes
2035,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,966,yes
2036,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1000,yes
2037,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2038,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2039,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2040,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2041,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2042,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2043,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2044,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2045,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2046,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2047,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2048,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2049,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2050,Projected,MSc Nursing,Nursing,2,1256,1963,0.5910,0.8908,observed (3 cohort matches),661,1034,yes
2021,Observed,Post Basic BSc Nursing,Nursing,2,1705,1775,0.4815,0.8013,observed (3 cohort matches),,,"no, partial"
2022,Observed,Post Basic BSc Nursing,Nursing,2,1705,1765,0.4815,0.8013,observed (3 cohort matches),,,"no, partial"
2023,Observed,Post Basic BSc Nursing,Nursing,2,1705,1725,0.4815,0.8013,observed (3 cohort matches),658,685,"no, partial"
2024,Observed,Post Basic BSc Nursing,Nursing,2,1705,1705,0.4815,0.8013,observed (3 cohort matches),658,681,"no, partial"
2025,Observed,Post Basic BSc Nursing,Nursing,2,1705,1680,0.4815,0.8013,observed (3 cohort matches),658,666,"no, partial"
2026,Projected,Post Basic BSc Nursing,Nursing,2,1705,1655,0.4815,0.8013,observed (3 cohort matches),658,658,"no, partial"
2027,Projected,Post Basic BSc Nursing,Nursing,2,1705,1630,0.4815,0.8013,observed (3 cohort matches),658,648,yes
2028,Projected,Post Basic BSc Nursing,Nursing,2,1705,1605,0.4815,0.8013,observed (3 cohort matches),658,638,yes
2029,Projected,Post Basic BSc Nursing,Nursing,2,1705,1580,0.4815,0.8013,observed (3 cohort matches),658,629,yes
2030,Projected,Post Basic BSc Nursing,Nursing,2,1705,1555,0.4815,0.8013,observed (3 cohort matches),658,619,yes
2031,Projected,Post Basic BSc Nursing,Nursing,2,1705,1530,0.4815,0.8013,observed (3 cohort matches),658,610,yes
2032,Projected,Post Basic BSc Nursing,Nursing,2,1705,1505,0.4815,0.8013,observed (3 cohort matches),658,600,yes
2033,Projected,Post Basic BSc Nursing,Nursing,2,1705,1480,0.4815,0.8013,observed (3 cohort matches),658,590,yes
2034,Projected,Post Basic BSc Nursing,Nursing,2,1705,1455,0.4815,0.8013,observed (3 cohort matches),658,581,yes
2035,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,571,yes
2036,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,561,yes
2037,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2038,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2039,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2040,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2041,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2042,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2043,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2044,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2045,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2046,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2047,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2048,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2049,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2050,Projected,Post Basic BSc Nursing,Nursing,2,1705,1430,0.4815,0.8013,observed (3 cohort matches),658,552,yes
2021,Observed,BDS,Dental,5,2200,2060,0.9076,0.9104,assumed,,,"no, partial"
2022,Observed,BDS,Dental,5,2200,2150,0.9076,0.9104,assumed,,,"no, partial"
2023,Observed,BDS,Dental,5,2200,2200,0.9076,0.9104,assumed,,,"no, partial"
2024,Observed,BDS,Dental,5,2200,2150,0.9076,0.9104,assumed,,,"no, partial"
2025,Observed,BDS,Dental,5,2200,2200,0.9076,0.9104,assumed,,,"no, partial"
